symbol,regime,num_runs,mean_len,p50_len,p90_len,max_len
CRO_x2,Blow-off rally / parabolic,114,1.1228070175438596,1,2,3
CRO_x2,Bull impulse,4,4.0,2,8,8
CRO_x2,Calm / normal,113,4.371681415929204,3,9,32
CRO_x2,Choppy high-vol sideways,65,2.3230769230769233,2,5,9
CRO_x2,Sell-off / drawdown,107,1.2429906542056075,1,2,3
CRO_x3,Blow-off rally / parabolic,114,1.1228070175438596,1,2,3
CRO_x3,Bull impulse,4,4.0,2,8,8
CRO_x3,Calm / normal,113,4.371681415929204,3,9,32
CRO_x3,Choppy high-vol sideways,65,2.3230769230769233,2,5,9
CRO_x3,Sell-off / drawdown,107,1.2429906542056075,1,2,3
CRO_x4,Blow-off rally / parabolic,114,1.1228070175438596,1,2,3
CRO_x4,Bull impulse,4,4.0,2,8,8
CRO_x4,Calm / normal,113,4.371681415929204,3,9,32
CRO_x4,Choppy high-vol sideways,65,2.3230769230769233,2,5,9
CRO_x4,Sell-off / drawdown,107,1.2429906542056075,1,2,3
DOGE,Blow-off rally / parabolic,227,1.2290748898678414,1,2,6
DOGE,Bull impulse,33,2.9393939393939394,2,6,9
DOGE,Calm / normal,250,5.732,3,14,37
DOGE,Choppy high-vol sideways,184,3.2065217391304346,2,7,13
DOGE,Sell-off / drawdown,256,1.30859375,1,2,4
DOGE_x1,Blow-off rally / parabolic,227,1.2290748898678414,1,2,6
DOGE_x1,Bull impulse,33,2.9393939393939394,2,6,9
DOGE_x1,Calm / normal,250,5.732,3,14,37
DOGE_x1,Choppy high-vol sideways,184,3.2065217391304346,2,7,13
DOGE_x1,Sell-off / drawdown,256,1.30859375,1,2,4
DOGE_x2,Blow-off rally / parabolic,227,1.2290748898678414,1,2,6
DOGE_x2,Bull impulse,33,2.9393939393939394,2,6,9
DOGE_x2,Calm / normal,250,5.732,3,14,37
DOGE_x2,Choppy high-vol sideways,184,3.2065217391304346,2,7,13
DOGE_x2,Sell-off / drawdown,256,1.30859375,1,2,4
DOGE_x3,Blow-off rally / parabolic,227,1.2290748898678414,1,2,6
DOGE_x3,Bull impulse,33,2.9393939393939394,2,6,9
DOGE_x3,Calm / normal,250,5.732,3,14,37
DOGE_x3,Choppy high-vol sideways,184,3.2065217391304346,2,7,13
DOGE_x3,Sell-off / drawdown,256,1.30859375,1,2,4
DOGE_x4,Blow-off rally / parabolic,227,1.2290748898678414,1,2,6
DOGE_x4,Bull impulse,33,2.9393939393939394,2,6,9
DOGE_x4,Calm / normal,250,5.732,3,14,37
DOGE_x4,Choppy high-vol sideways,184,3.2065217391304346,2,7,13
DOGE_x4,Sell-off / drawdown,256,1.30859375,1,2,4
DOT,Blow-off rally / parabolic,39,1.1025641025641026,1,2,2
DOT,Bull impulse,8,1.375,1,3,3
DOT,Calm / normal,37,2.2972972972972974,2,4,9
DOT,Choppy high-vol sideways,41,2.7560975609756095,2,6,14
DOT,Sell-off / drawdown,41,1.3414634146341464,1,2,3
DOT_x1,Blow-off rally / parabolic,39,1.1025641025641026,1,2,2
DOT_x1,Bull impulse,8,1.375,1,3,3
DOT_x1,Calm / normal,37,2.2972972972972974,2,4,9
DOT_x1,Choppy high-vol sideways,41,2.7560975609756095,2,6,14
DOT_x1,Sell-off / drawdown,41,1.3414634146341464,1,2,3
DOT_x2,Blow-off rally / parabolic,39,1.1025641025641026,1,2,2
DOT_x2,Bull impulse,8,1.375,1,3,3
DOT_x2,Calm / normal,37,2.2972972972972974,2,4,9
DOT_x2,Choppy high-vol sideways,41,2.7560975609756095,2,6,14
