Date,Calm / normal,Choppy high-vol sideways,Sell-off / drawdown,Blow-off rally / parabolic,Bull impulse,total_syms,frac_calm,frac_choppy,frac_sello,frac_blowoff,frac_bull
2020-05-01,140,20,0,20,0,180,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0
2020-05-02,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-05-03,160,10,10,0,0,180,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.0,0.0
2020-05-04,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-05-05,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-05-06,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-05-07,110,10,0,60,0,180,0.6111111111111112,0.05555555555555555,0.0,0.3333333333333333,0.0
2020-05-08,150,10,0,20,0,180,0.8333333333333334,0.05555555555555555,0.0,0.1111111111111111,0.0
2020-05-09,170,0,0,10,0,180,0.9444444444444444,0.0,0.0,0.05555555555555555,0.0
2020-05-10,0,0,180,0,0,180,0.0,0.0,1.0,0.0,0.0
2020-05-11,150,0,30,0,0,180,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0
2020-05-12,150,0,0,30,0,180,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0
2020-05-13,120,20,0,40,0,180,0.6666666666666666,0.1111111111111111,0.0,0.2222222222222222,0.0
2020-05-14,130,20,0,30,0,180,0.7222222222222222,0.1111111111111111,0.0,0.16666666666666666,0.0
2020-05-15,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-05-16,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-05-17,160,20,0,0,0,180,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
2020-05-18,150,0,0,30,0,180,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0
2020-05-19,160,0,10,10,0,180,0.8888888888888888,0.0,0.05555555555555555,0.05555555555555555,0.0
2020-05-20,160,0,10,10,0,180,0.8888888888888888,0.0,0.05555555555555555,0.05555555555555555,0.0
2020-05-21,90,10,80,0,0,180,0.5,0.05555555555555555,0.4444444444444444,0.0,0.0
2020-05-22,90,10,0,80,0,180,0.5,0.05555555555555555,0.0,0.4444444444444444,0.0
2020-05-23,170,0,10,0,0,180,0.9444444444444444,0.0,0.05555555555555555,0.0,0.0
2020-05-24,150,0,30,0,0,180,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0
2020-05-25,150,0,0,30,0,180,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0
2020-05-26,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-05-27,140,10,0,30,0,180,0.7777777777777778,0.05555555555555555,0.0,0.16666666666666666,0.0
2020-05-28,120,10,0,50,0,180,0.6666666666666666,0.05555555555555555,0.0,0.2777777777777778,0.0
2020-05-29,160,20,0,0,0,180,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
2020-05-30,50,10,0,120,0,180,0.2777777777777778,0.05555555555555555,0.0,0.6666666666666666,0.0
2020-05-31,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-06-01,50,0,0,130,0,180,0.2777777777777778,0.0,0.0,0.7222222222222222,0.0
2020-06-02,140,10,20,10,0,180,0.7777777777777778,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0
2020-06-03,120,0,0,60,0,180,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
2020-06-04,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-06-05,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-06-06,160,10,10,0,0,180,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.0,0.0
2020-06-07,150,20,0,10,0,180,0.8333333333333334,0.1111111111111111,0.0,0.05555555555555555,0.0
2020-06-08,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-06-09,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-06-10,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-06-11,0,0,180,0,0,180,0.0,0.0,1.0,0.0,0.0
2020-06-12,150,10,0,20,0,180,0.8333333333333334,0.05555555555555555,0.0,0.1111111111111111,0.0
2020-06-13,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-06-14,170,0,10,0,0,180,0.9444444444444444,0.0,0.05555555555555555,0.0,0.0
2020-06-15,170,0,10,0,0,180,0.9444444444444444,0.0,0.05555555555555555,0.0,0.0
2020-06-16,180,0,0,0,0,180,1.0,0.0,0.0,0.0,0.0
2020-06-17,170,0,0,10,0,180,0.9444444444444444,0.0,0.0,0.05555555555555555,0.0
2020-06-18,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-06-19,170,0,0,10,0,180,0.9444444444444444,0.0,0.0,0.05555555555555555,0.0
2020-06-20,170,0,10,0,0,180,0.9444444444444444,0.0,0.05555555555555555,0.0,0.0
2020-06-21,170,0,0,10,0,180,0.9444444444444444,0.0,0.0,0.05555555555555555,0.0
2020-06-22,50,0,0,130,0,180,0.2777777777777778,0.0,0.0,0.7222222222222222,0.0
2020-06-23,150,10,0,20,0,180,0.8333333333333334,0.05555555555555555,0.0,0.1111111111111111,0.0
2020-06-24,150,10,20,0,0,180,0.8333333333333334,0.05555555555555555,0.1111111111111111,0.0,0.0
2020-06-25,180,0,0,0,0,180,1.0,0.0,0.0,0.0,0.0
2020-06-26,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-06-27,120,0,60,0,0,180,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
2020-06-28,160,0,0,20,0,180,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0
2020-06-29,140,0,0,40,0,180,0.7777777777777778,0.0,0.0,0.2222222222222222,0.0
2020-06-30,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-07-01,170,0,0,10,0,180,0.9444444444444444,0.0,0.0,0.05555555555555555,0.0
2020-07-02,170,0,10,0,0,180,0.9444444444444444,0.0,0.05555555555555555,0.0,0.0
2020-07-03,170,10,0,0,0,180,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
2020-07-04,160,10,0,10,0,180,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0
2020-07-05,160,0,10,10,0,180,0.8888888888888888,0.0,0.05555555555555555,0.05555555555555555,0.0
2020-07-06,50,10,0,120,0,180,0.2777777777777778,0.05555555555555555,0.0,0.6666666666666666,0.0
2020-07-07,130,0,0,50,0,180,0.7222222222222222,0.0,0.0,0.2777777777777778,0.0
2020-07-08,80,0,0,90,10,180,0.4444444444444444,0.0,0.0,0.5,0.05555555555555555
2020-07-09,140,0,0,30,10,180,0.7777777777777778,0.0,0.0,0.16666666666666666,0.05555555555555555
2020-07-10,130,10,20,20,0,180,0.7222222222222222,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0
2020-07-11,130,30,0,20,0,180,0.7222222222222222,0.16666666666666666,0.0,0.1111111111111111,0.0
2020-07-12,140,20,0,20,0,180,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0
2020-07-13,130,20,20,10,0,180,0.7222222222222222,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.0
2020-07-14,150,10,0,20,0,180,0.8333333333333334,0.05555555555555555,0.0,0.1111111111111111,0.0
2020-07-15,150,10,0,10,10,180,0.8333333333333334,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555
2020-07-16,140,20,10,10,0,180,0.7777777777777778,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0
2020-07-17,150,30,0,0,0,180,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
2020-07-18,120,20,0,40,0,180,0.6666666666666666,0.1111111111111111,0.0,0.2222222222222222,0.0
2020-07-19,110,30,10,30,0,180,0.6111111111111112,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.0
2020-07-20,110,30,40,0,0,180,0.6111111111111112,0.16666666666666666,0.2222222222222222,0.0,0.0
2020-07-21,80,40,0,60,0,180,0.4444444444444444,0.2222222222222222,0.0,0.3333333333333333,0.0
2020-07-22,120,40,0,20,0,180,0.6666666666666666,0.2222222222222222,0.0,0.1111111111111111,0.0
2020-07-23,130,30,0,20,0,180,0.7222222222222222,0.16666666666666666,0.0,0.1111111111111111,0.0
2020-07-24,140,30,10,0,0,180,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.0,0.0
2020-07-25,70,30,0,80,0,180,0.3888888888888889,0.16666666666666666,0.0,0.4444444444444444,0.0
2020-07-26,140,20,0,10,10,180,0.7777777777777778,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555
2020-07-27,90,0,30,50,10,180,0.5,0.0,0.16666666666666666,0.2777777777777778,0.05555555555555555
2020-07-28,130,0,0,40,10,180,0.7222222222222222,0.0,0.0,0.2222222222222222,0.05555555555555555
2020-07-29,140,10,10,20,0,180,0.7777777777777778,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0
2020-07-30,140,20,0,20,0,180,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0
2020-07-31,130,20,0,30,0,180,0.7222222222222222,0.1111111111111111,0.0,0.16666666666666666,0.0
2020-08-01,50,20,0,110,0,180,0.2777777777777778,0.1111111111111111,0.0,0.6111111111111112,0.0
2020-08-02,100,10,70,0,0,180,0.5555555555555556,0.05555555555555555,0.3888888888888889,0.0,0.0
2020-08-03,110,20,0,50,0,180,0.6111111111111112,0.1111111111111111,0.0,0.2777777777777778,0.0
2020-08-04,130,20,0,30,0,180,0.7222222222222222,0.1111111111111111,0.0,0.16666666666666666,0.0
2020-08-05,150,20,0,10,0,180,0.8333333333333334,0.1111111111111111,0.0,0.05555555555555555,0.0
2020-08-06,130,10,0,30,10,180,0.7222222222222222,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555
2020-08-07,160,20,0,0,0,180,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
2020-08-08,130,10,0,30,10,180,0.7222222222222222,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555
2020-08-09,140,0,0,20,20,180,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111
2020-08-10,120,10,0,40,10,180,0.6666666666666666,0.05555555555555555,0.0,0.2222222222222222,0.05555555555555555
2020-08-11,90,10,70,0,10,180,0.5,0.05555555555555555,0.3888888888888889,0.0,0.05555555555555555
2020-08-12,130,0,0,30,20,180,0.7222222222222222,0.0,0.0,0.16666666666666666,0.1111111111111111
2020-08-13,110,10,0,40,20,180,0.6111111111111112,0.05555555555555555,0.0,0.2222222222222222,0.1111111111111111
2020-08-14,120,30,0,30,0,180,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
2020-08-15,120,20,0,30,10,180,0.6666666666666666,0.1111111111111111,0.0,0.16666666666666666,0.05555555555555555
2020-08-16,100,30,0,50,0,180,0.5555555555555556,0.16666666666666666,0.0,0.2777777777777778,0.0
2020-08-17,120,20,10,30,0,180,0.6666666666666666,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.0
2020-08-18,130,30,20,0,0,180,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.0,0.0
2020-08-19,80,30,70,0,0,180,0.4444444444444444,0.16666666666666666,0.3888888888888889,0.0,0.0
2020-08-20,100,40,0,40,0,180,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0.0
2020-08-21,60,20,100,0,0,180,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.0,0.0
2020-08-22,110,30,0,40,0,180,0.6111111111111112,0.16666666666666666,0.0,0.2222222222222222,0.0
2020-08-23,130,30,0,10,10,180,0.7222222222222222,0.16666666666666666,0.0,0.05555555555555555,0.05555555555555555
2020-08-24,120,50,0,10,0,180,0.6666666666666666,0.2777777777777778,0.0,0.05555555555555555,0.0
2020-08-25,70,40,70,0,0,180,0.3888888888888889,0.2222222222222222,0.3888888888888889,0.0,0.0
2020-08-26,130,50,0,0,0,180,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0
2020-08-27,100,50,30,0,0,180,0.5555555555555556,0.2777777777777778,0.16666666666666666,0.0,0.0
2020-08-28,110,30,0,40,0,180,0.6111111111111112,0.16666666666666666,0.0,0.2222222222222222,0.0
2020-08-29,100,30,0,40,10,180,0.5555555555555556,0.16666666666666666,0.0,0.2222222222222222,0.05555555555555555
2020-08-30,100,30,0,50,0,180,0.5555555555555556,0.16666666666666666,0.0,0.2777777777777778,0.0
2020-08-31,120,10,10,20,20,180,0.6666666666666666,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111
2020-09-01,80,30,0,60,10,180,0.4444444444444444,0.16666666666666666,0.0,0.3333333333333333,0.05555555555555555
2020-09-02,40,20,110,0,10,180,0.2222222222222222,0.1111111111111111,0.6111111111111112,0.0,0.05555555555555555
2020-09-03,0,10,170,0,10,190,0.0,0.05263157894736842,0.8947368421052632,0.0,0.05263157894736842
2020-09-04,70,90,20,10,0,190,0.3684210526315789,0.47368421052631576,0.10526315789473684,0.05263157894736842,0.0
2020-09-05,40,10,140,0,0,190,0.21052631578947367,0.05263157894736842,0.7368421052631579,0.0,0.0
2020-09-06,60,80,0,50,0,190,0.3157894736842105,0.42105263157894735,0.0,0.2631578947368421,0.0
2020-09-07,70,120,0,0,0,190,0.3684210526315789,0.631578947368421,0.0,0.0,0.0
2020-09-08,70,100,20,0,0,190,0.3684210526315789,0.5263157894736842,0.10526315789473684,0.0,0.0
2020-09-09,70,110,0,10,0,190,0.3684210526315789,0.5789473684210527,0.0,0.05263157894736842,0.0
2020-09-10,80,110,0,0,0,190,0.42105263157894735,0.5789473684210527,0.0,0.0,0.0
