symbol,transition,n,mean_ret_fwd1,median_ret_fwd1,std_ret_fwd1,hit_rate_fwd1,sharpe_d_fwd1
BNB,Blow-off rally / parabolic → Calm / normal,81,0.004944038004025062,0.004603473180558648,0.05660782396732195,0.5432098765432098,0.0873384217503063
TRX,Blow-off rally / parabolic → Calm / normal,59,0.004583516278709659,4.1985248500253647E-4,0.04355437958965444,0.5084745762711864,0.10523663341994638
CRO,Blow-off rally / parabolic → Calm / normal,60,0.004549640774999871,0.0017103212695785963,0.04744066041892772,0.55,0.09590171668825821
DOGE,Blow-off rally / parabolic → Calm / normal,123,0.0037231653054895465,-0.004100481489678565,0.043642978363378625,0.44715447154471544,0.08530960638134866
BTC,Blow-off rally / parabolic → Calm / normal,237,0.002340894462888554,0.002323627504231318,0.034026255569439716,0.540084388185654,0.0687967107668174
WBTC,Blow-off rally / parabolic → Calm / normal,76,0.001682016920097717,0.0028686271703541877,0.03271040730557737,0.5526315789473685,0.05142146058850573
LTC,Blow-off rally / parabolic → Calm / normal,164,0.0012229694218880251,-0.0019165373964544763,0.0355750077286594,0.47560975609756095,0.03437720748273499
ADA,Blow-off rally / parabolic → Calm / normal,72,-3.461167071929505E-4,4.3623991693753084E-4,0.04144391429028833,0.5138888888888888,-0.008351448291506022
XRP,Blow-off rally / parabolic → Calm / normal,135,-5.940238394857968E-4,-0.003527313293319345,0.038150696701973914,0.45925925925925926,-0.015570458493227518
ATOM,Blow-off rally / parabolic → Calm / normal,38,-0.0014977315215457473,-0.0019689580012822727,0.04941125665901669,0.5,-0.030311544834438806
XEM,Blow-off rally / parabolic → Calm / normal,81,-0.0027212379763802775,-0.0035790156438664233,0.043303769801384624,0.4567901234567901,-0.06284067158266823
AAVE,Blow-off rally / parabolic → Calm / normal,7,-0.013098323996185966,-0.027558243152611794,0.0475499540510803,0.2857142857142857,-0.27546449323831435
AAVE,Blow-off rally / parabolic → Choppy high-vol sideways,16,0.030276164129601213,0.012895077816652112,0.09263398256453328,0.625,0.32683647287332573
UNI,Blow-off rally / parabolic → Choppy high-vol sideways,22,0.026108422955052214,0.015049093755969079,0.07137663164294138,0.5909090909090909,0.36578390369635977
SOL,Blow-off rally / parabolic → Choppy high-vol sideways,27,0.02477837880517988,0.027159362112033403,0.07730793887077174,0.5925925925925926,0.3205153205106078
ETH,Blow-off rally / parabolic → Choppy high-vol sideways,72,0.019666592183775557,0.013251473392564606,0.060145002321790625,0.6388888888888888,0.32698630683484603
BNB,Blow-off rally / parabolic → Choppy high-vol sideways,53,0.014872793845179989,0.015219294670359762,0.06536093454595747,0.6792452830188679,0.22754867182510108
ADA,Blow-off rally / parabolic → Choppy high-vol sideways,54,0.013919005463057011,0.006812275584791916,0.0581020662682451,0.6296296296296297,0.23956128167276997
LINK,Blow-off rally / parabolic → Choppy high-vol sideways,64,0.01222012650568618,0.002669967791867567,0.06592085754717993,0.546875,0.1853757211356082
BTC,Blow-off rally / parabolic → Choppy high-vol sideways,20,0.011178466094521555,0.022200960221512744,0.05411934210697651,0.65,0.20655214308454317
DOGE,Blow-off rally / parabolic → Choppy high-vol sideways,50,0.01048295090759379,-0.011929170385477583,0.07926700263650796,0.42,0.13224860987446577
CRO,Blow-off rally / parabolic → Choppy high-vol sideways,25,0.0082705597513218,9.03826137568009E-4,0.0657576587937434,0.52,0.1257733304840335
EOS,Blow-off rally / parabolic → Choppy high-vol sideways,50,0.00575491818679599,0.005095615692437772,0.06558897481251667,0.58,0.08774215793502158
XMR,Blow-off rally / parabolic → Choppy high-vol sideways,92,0.005522055287807382,-0.002802548506042335,0.06580835938404825,0.4782608695652174,0.08391115261788325
TRX,Blow-off rally / parabolic → Choppy high-vol sideways,42,9.277963241324185E-4,0.003706122756613084,0.06526118650079425,0.5238095238095238,0.014216663439318973
MIOTA,Blow-off rally / parabolic → Choppy high-vol sideways,49,6.873404750105083E-4,-1.880576437043313E-4,0.07396230882303227,0.4897959183673469,0.00929311815637192
XEM,Blow-off rally / parabolic → Choppy high-vol sideways,77,4.023402537291938E-4,-0.006614384263190942,0.06086130276559438,0.4675324675324675,0.006610772945147036
WBTC,Blow-off rally / parabolic → Choppy high-vol sideways,7,-0.005356616777064259,0.013365071551547203,0.03956204552605462,0.5714285714285714,-0.13539787202197417
DOT,Blow-off rally / parabolic → Choppy high-vol sideways,16,-0.008546875017427819,-0.01838741993216697,0.059155791383540615,0.375,-0.14448078231281822
XLM,Blow-off rally / parabolic → Choppy high-vol sideways,76,-0.010686888074451503,-0.00763306894998772,0.05703115634892117,0.42105263157894735,-0.18738683832865438
LTC,Blow-off rally / parabolic → Choppy high-vol sideways,79,-0.012820299299298071,-0.011754703661503996,0.04810263843903132,0.4430379746835443,-0.2665196695093435
ATOM,Blow-off rally / parabolic → Choppy high-vol sideways,42,-0.01649391520311385,-0.010449360766406679,0.06868524210686808,0.35714285714285715,-0.24013768747369044
